ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_1Min,twap_roll_10,time,diff,zcore-5,mean
2023-01-12 10:16:39,2023-01-12 10:16:39,TPSHe1063038797224259588,0.0299,2.99,0,2.990727722772277,2.991746242774567,10:16:39,-0.0007277227722766177,-0.3930358027263193,-0.0006087941425548138
2023-01-12 10:16:40,2023-01-12 10:16:40,PATRe1063038799520493569,0.0299,2.99,1,2.990720588235294,2.991743722943723,10:16:40,-0.0007205882352936399,0.9609114510811475,-0.000752968833996448
2023-01-12 10:16:40,2023-01-12 10:16:40,PATRe1063038799503716353,0.0299,2.99,0,2.990720588235294,2.991743722943723,10:16:40,-0.0007205882352936399,1.0263911577416935,-0.0007337531477219272
2023-01-12 10:16:46,2023-01-12 10:16:46,BGC22022011009429060,0.0299,2.99,6,2.9906805555555556,2.9917287553648073,10:16:46,-0.0006805555555553511,8.499527732827135,-0.0007263244030281335
2023-01-12 10:16:50,2023-01-12 10:16:50,BGC22022011009429073,0.0299,2.99,4,2.9906562500000002,2.9917189189189193,10:16:50,-0.0006562500000000249,3.3382610623358797,-0.0007154355141391732
2023-01-12 10:16:50,2023-01-12 10:16:50,BGC22022011009429065,0.0299,2.99,0,2.9906562500000002,2.9917189189189193,10:16:50,-0.0006562500000000249,1.6069539623098914,-0.0007011409596838547
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000149,0.0299,2.99,4,2.990633620689655,2.991709193776521,10:16:54,-0.0006336206896548902,1.8388982798613085,-0.0006868464052285361
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000150,0.0299,2.99,0,2.990633620689655,2.991709193776521,10:16:54,-0.0006336206896548902,1.2119492947680826,-0.0006694528961007862
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000152,0.029875,2.9875,0,2.990633620689655,2.991709193776521,10:16:54,-0.003133620689655281,-141.99488034629468,-0.0006520593869730363
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000153,0.02985,2.985,0,2.990633620689655,2.991709193776521,10:16:54,-0.005633620689655228,-4.511132988608374,-0.0011426724137930222
2023-01-12 10:16:54,2023-01-12 10:16:54,TJXT230112052024000000000151,0.029875,2.9875,0,2.990633620689655,2.991709193776521,10:16:54,-0.003133620689655281,-0.49857886047877237,-0.0021381465517240628
2023-01-12 10:17:10,2023-01-12 10:17:10,TJXT230112052024000000000154,0.0299,2.99,16,2.9900327868852457,2.9916691542288563,10:17:10,-3.278688524543938e-05,1.3902041451485776,-0.002633620689655114
2023-01-12 10:17:45,2023-01-12 10:17:45,ICAP2202207000589241,0.0299,2.99,35,2.99,2.991539967373573,10:17:45,0.0,1.250733543822826,-0.002513453928773224
2023-01-12 10:17:45,2023-01-12 10:17:45,ICAP2202207000589240,0.0299,2.99,0,2.99,2.991539967373573,10:17:45,0.0,1.1153547248117408,-0.0023867297908422456
2023-01-12 10:17:56,2023-01-12 10:17:56,220220_1560820011_20230112-10:17,0.029895,2.9895,11,2.989911290322581,2.9915040064102567,10:17:56,-0.000411290322580804,0.5906535428210213,-0.0017600056529111896
2023-01-12 10:18:20,2023-01-12 10:18:20,BGC22022011009429201,0.0299,2.99,24,2.9899214285714284,2.991448302469136,10:18:20,7.857142857181643e-05,0.6514435861681757,-0.0007155395794963048
2023-01-12 10:18:54,2023-01-12 10:18:54,BGC22022011009429245,0.0299,2.99,34,2.9899202898550725,2.991271634615385,10:18:54,7.971014492769157e-05,0.883171649871798,-7.31011558508854e-05
2023-01-12 10:18:54,2023-01-12 10:18:54,BGC22022011009429237,0.0299,2.99,0,2.9899202898550725,2.991271634615385,10:18:54,7.971014492769157e-05,0.7090461850437301,-5.06017498162592e-05
2023-01-12 10:18:55,2023-01-12 10:18:55,ICAP2202207000589243,0.0299,2.99,1,2.9899214285714284,2.9912696000000003,10:18:55,7.857142857181643e-05,0.593436841300906,-3.4659720830720886e-05
2023-01-12 10:18:59,2023-01-12 10:18:59,220220_1627929365_20230112-10:18,0.029901,2.9901,4,2.990006349206349,2.9912621621621622,10:18:59,9.365079365108997e-05,0.5739636375183121,-1.89454351163576e-05
2023-01-12 10:19:10,2023-01-12 10:19:10,TJXT230112052024000000000157,0.0299,2.99,11,2.9900054054054053,2.9912404687500005,10:19:10,-5.40540540505674e-06,-15.009213208789877,8.204278813002119e-05
2023-01-12 10:19:10,2023-01-12 10:19:10,TJXT230112052024000000000156,0.0299,2.99,0,2.9900054054054053,2.9912404687500005,10:19:10,-5.40540540505674e-06,-1.9756643828283489,6.524742133464655e-05
2023-01-12 10:19:29,2023-01-12 10:19:29,TJXT230112052024000000000159,0.0299,2.99,19,2.9900057971014493,2.9911052287581703,10:19:29,-5.79710144910095e-06,-1.2247163260979235,4.82243112680969e-05
2023-01-12 10:19:46,2023-01-12 10:19:46,ICAP2202207000589247,0.0299,2.99,17,2.9900046511627907,2.9909860162601625,10:19:46,-4.651162790469954e-06,-0.7923290987910928,3.1122861992738396e-05
2023-01-12 10:19:59,2023-01-12 10:19:59,220220_1678261411_20230112-10:19,0.029893,2.9893,13,2.989848333333333,2.9909511146496817,10:19:59,-0.0005483333333331508,-14.216736193406241,1.4478343720281117e-05
2023-01-12 10:20:56,2023-01-12 10:20:56,PATRe1063039875611127809,0.02988,2.988,57,2.9882414285714285,2.9907055474452555,10:20:56,-0.0002414285714285036,-0.5870421001040376,-0.00011391848167656704
2023-01-12 10:20:57,2023-01-12 10:20:57,220220_1745370623_20230112-10:20,0.029897,2.9897,1,2.988261971830986,2.990704081632653,10:20:57,0.0014380281690140606,7.468457265525348,-0.0001611231148812564
2023-01-12 10:21:23,2023-01-12 10:21:23,BGC22022011009429390,0.0299,2.99,26,2.988639285714286,2.9906783707865174,10:21:23,0.0013607142857141596,1.8004309921972954,0.00012756360000256705
2023-01-12 10:21:23,2023-01-12 10:21:23,BGC22022011009429385,0.0299,2.99,0,2.988639285714286,2.9906783707865174,10:21:23,0.0013607142857141596,1.151360959410062,0.0004008658774352192
2023-01-12 10:21:25,2023-01-12 10:21:25,ICAP2202207000589253,0.0299,2.99,2,2.9886709302325585,2.9906764705882356,10:21:25,0.0013290697674417373,0.7457196967164634,0.000673938967136145
2023-01-12 10:21:34,2023-01-12 10:21:34,PATRe1063040032650063873,0.0299,2.99,9,2.988796842105263,2.9906680497925313,10:21:34,0.001203157894737128,0.23782897399981737,0.0010494195872911226
2023-01-12 10:21:52,2023-01-12 10:21:52,PATRe1063040108168507393,0.0299,2.99,18,2.9889884955752217,2.9906518218623486,10:21:52,0.0010115044247784866,-4.269560135299505,0.001338336880524249
2023-01-12 10:21:52,2023-01-12 10:21:52,PATRe1063040108189478913,0.0299,2.99,0,2.9889884955752217,2.9906518218623486,10:21:52,0.0010115044247784866,-1.802288122847808,0.0012530321316771343
2023-01-12 10:21:58,2023-01-12 10:21:58,TPSHe1063040134057996289,0.0299,2.99,6,2.9899999999999998,2.9906465863453815,10:21:58,4.440892098500626e-16,-7.900361119407285,0.0011831901594899995
2023-01-12 10:21:59,2023-01-12 10:21:59,TPSHe1063040138571067396,0.0299,2.99,1,2.9899999999999998,2.9905090000000003,10:21:59,4.440892098500626e-16,-1.9333622001969804,0.0009110473023472565
2023-01-12 10:21:59,2023-01-12 10:21:59,TPSHe1063040137048535041,0.0299,2.99,0,2.9899999999999998,2.9905090000000003,10:21:59,4.440892098500626e-16,-1.214080287705661,0.0006452333488589978
2023-01-12 10:21:59,2023-01-12 10:21:59,TPSHe1063040137040146433,0.0299,2.99,0,2.9899999999999998,2.9905090000000003,10:21:59,4.440892098500626e-16,-0.8164965809277164,0.0004046017699116611
2023-01-12 10:22:01,2023-01-12 10:22:01,ICAP2202207000589256,0.0299,2.99,2,2.9899999999999998,2.9905073089701,10:22:01,4.440892098500626e-16,-0.49999999999999123,0.0002023008849560526
2023-01-12 10:22:10,2023-01-12 10:22:10,TPSHe1063040184779714564,0.0299,2.99,9,2.9899999999999998,2.990499836333879,10:22:10,4.440892098500626e-16,-0.49999999999999123,4.440892098500626e-16
2023-01-12 10:22:22,2023-01-12 10:22:22,PATRe1063040236526792708,0.0299,2.99,12,2.99,2.990490208667737,10:22:22,0.0,-inf,4.440892098500626e-16
2023-01-12 10:22:59,2023-01-12 10:22:59,220220_1879589192_20230112-10:22,0.029899,2.9899,37,2.989938333333333,2.990344925124792,10:22:59,-3.833333333291833e-05,-505093.7301202201,3.552713678800501e-16
2023-01-12 10:23:58,2023-01-12 10:23:58,220220_1946698626_20230112-10:23,0.029895,2.9895,59,2.9896541666666665,2.990269393939394,10:23:58,-0.0001541666666664554,-9.55434782599936,-7.666666666317212e-06
2023-01-12 10:24:06,2023-01-12 10:24:06,PATRe1063040671690027009,0.02988,2.988,8,2.9893208955223876,2.990242215568862,10:24:06,-0.0013208955223875662,-21.47758557474912,-3.849999999969711e-05
2023-01-12 10:24:50,2023-01-12 10:24:50,PATRe1063040857942290434,0.0299,2.99,44,2.98959009009009,2.989915015974441,10:24:50,0.0004099099099104109,1.3911341998588327,-0.0003026791044772992
2023-01-12 10:24:51,2023-01-12 10:24:51,ICAP2202207000589264,0.02992,2.992,1,2.9896116071428573,2.989918341307815,10:24:51,0.0023883928571426516,4.481819073375511,-0.00022069712249530581
2023-01-12 10:24:59,2023-01-12 10:24:59,220220_1997030705_20230112-10:24,0.0299,2.99,8,2.989770491803278,2.9898299500831946,10:24:59,0.00022950819672207246,-0.022717970378344516,0.0002569814489332245
2023-01-12 10:25:52,2023-01-12 10:25:52,220220_2064139962_20230112-10:25,0.029899,2.9899,53,2.9899131147540983,2.989835626911315,10:25:52,-1.311475409826457e-05,-0.2695062672036024,0.00031054975494422267
2023-01-12 10:27:56,2023-01-12 10:27:56,220220_50874688_20230112-10:27:5,0.02989,2.989,124,2.989,2.989500833333333,10:27:56,0.0,-0.2843559875331163,0.0003387601374578608
2023-01-12 10:28:54,2023-01-12 10:28:54,220220_101206765_20230112-10:28:,0.029891,2.9891,58,2.989031868131868,2.9894138333333333,10:28:54,6.813186813214855e-05,-0.5900483217195527,0.0006029392419353741
2023-01-12 10:29:51,2023-01-12 10:29:51,PATRe1063042118087372801,0.02988,2.988,57,2.988554782608696,2.98922958677686,10:29:51,-0.0005547826086957919,-1.1702107000121262,0.0005345836335797216
2023-01-12 10:29:52,2023-01-12 10:29:52,TPSHe1063042122481053700,0.02988,2.988,1,2.98855,2.9892275577557754,10:29:52,-0.0005500000000000504,-1.8727339686667106,-5.405145958796709e-05
2023-01-12 10:29:52,2023-01-12 10:29:52,PATRe1063042124076838913,0.02988,2.988,0,2.98855,2.9892275577557754,10:29:52,-0.0005500000000000504,-1.2102981407759625,-0.00020995309893239166
2023-01-12 10:29:52,2023-01-12 10:29:52,PATRe1063042124055867393,0.02988,2.988,0,2.98855,2.9892275577557754,10:29:52,-0.0005500000000000504,-0.8086485009954019,-0.00031733014811274884
2023-01-12 10:29:59,2023-01-12 10:29:59,220220_168316149_20230112-10:29:,0.029885,2.9885,7,2.9880538461538464,2.9892174999999996,10:29:59,0.00044615384615376286,3.5258387123638952,-0.00042733014811275894
2023-01-12 10:30:02,2023-01-12 10:30:02,TPSHe1063042164419899393,0.02988,2.988,3,2.9880514705882355,2.9892114427860697,10:30:02,-5.147058823551376e-05,0.7526246526291748,-0.0003517257525084361
2023-01-12 10:30:02,2023-01-12 10:30:02,TPSHe1063042164411510788,0.02988,2.988,0,2.9880514705882355,2.9892114427860697,10:30:02,-5.147058823551376e-05,0.5008515468916291,-0.00025106334841638043
2023-01-12 10:30:04,2023-01-12 10:30:04,TJXT230112052024000000000168,0.02988,2.988,2,2.98805,2.9892074380165288,10:30:04,-4.999999999988347e-05,0.27189979351413673,-0.0001513574660634731
2023-01-12 10:30:08,2023-01-12 10:30:08,BGC22022011009429811,0.02988,2.988,4,2.9880472972972973,2.9891995073891624,10:30:08,-4.72972972973551e-05,0.012888921307787392,-5.1357466063439716e-05
2023-01-12 10:30:24,2023-01-12 10:30:24,TPSHe1063042256690393089,0.029875,2.9875,16,2.98795,2.989156,10:30:24,-0.0004500000000002835,-2.5148872049814304,4.918307447709935e-05
2023-01-12 10:30:24,2023-01-12 10:30:24,TPSHe1063042256677810177,0.029875,2.9875,0,2.98795,2.989156,10:30:24,-0.0004500000000002835,-1.9999092319036031,-0.0001300476947537099
2023-01-12 10:30:31,2023-01-12 10:30:31,UEDA230112061024000000000007,0.029875,2.9875,7,2.9879175257731956,2.989137658227848,10:30:31,-0.00041752577319575934,-1.0591708401650946,-0.00020975357710666386
2023-01-12 10:30:38,2023-01-12 10:30:38,BGC22022011009429906,0.029875,2.9875,7,2.987889423076923,2.989119718309859,10:30:38,-0.00038942307692302336,-0.5553759178684223,-0.000282964614098713
2023-01-12 10:30:47,2023-01-12 10:30:47,TPSHe1063042352026923009,0.029875,2.9875,9,2.9878584070796457,2.989097222222222,10:30:47,-0.0003584070796458505,-0.049251865569217894,-0.00035084922948334094
2023-01-12 10:30:52,2023-01-12 10:30:52,PATRe1063042373075890177,0.02988,2.988,5,2.987733333333333,2.9890888208269524,10:30:52,0.0002666666666670814,19.157480970875522,-0.00041307118595304006
