ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_5Min,twap_roll_10,time,diff,zcore-10,mean,zcore2-10-15
2023-01-12 10:00:41,2023-01-12 10:00:41,TPSHe1063034779164913668,0.0299,2.99,0,2.9901540935672513,2.9902791666666673,10:00:41,-0.00015409356725104573,0.9342509763955356,-0.0010809037798418686,-0.07443548211508924
2023-01-12 10:00:42,2023-01-12 10:00:42,PATRe1063034782140624897,0.0299,2.99,1,2.9901536443148684,2.990278702163062,10:00:42,-0.0001536443148681954,0.8281322484264657,-0.001006705293429766,-0.04283312660264343
2023-01-12 10:00:42,2023-01-12 10:00:42,PATRe1063034782119653378,0.0299,2.99,0,2.9901536443148684,2.990278702163062,10:00:42,-0.0001536443148681954,0.7360727084264188,-0.0009350221058690433,-0.016263397029026565
2023-01-12 10:00:47,2023-01-12 10:00:47,BGC22022011009428152,0.0299,2.99,5,2.990151436781609,2.990277777777778,10:00:47,-0.0001514367816088935,0.6515761139183504,-0.0008598914878509501,0.01276961110123785
2023-01-12 10:00:49,2023-01-12 10:00:49,UEDAe1063034811753721860,0.0299,2.99,2,2.9901505714285714,2.9902768595041325,10:00:49,-0.0001505714285712223,0.57244117800348,-0.0007845401165069265,0.04068445527697974
2023-01-12 10:00:49,2023-01-12 10:00:49,TJXT230112052024000000000124,0.0299,2.99,0,2.9901505714285714,2.9902768595041325,10:00:49,-0.0001505714285712223,0.41846912264672576,-0.0005005537811031413,0.2943003530638431
2023-01-12 10:00:51,2023-01-12 10:00:51,TJXT230112052024000000000125,0.0299,2.99,2,2.990149715909091,2.9902759472817135,10:00:51,-0.00014971590909063082,0.37588866558263295,-0.0004665674456993951,0.2736707789303578
2023-01-12 10:00:51,2023-01-12 10:00:51,TJXT230112052024000000000126,0.029925,2.9925,0,2.990149715909091,2.9902759472817135,10:00:51,0.002350284090909316,28.789304455555733,-0.00018335984585702292,0.5204523419765232
2023-01-12 10:00:54,2023-01-12 10:00:54,ICAP2202207000589187,0.0299,2.99,3,2.989994,2.9902745901639345,10:00:54,6.000000000394579e-06,-0.12026770636588845,9.636025224191158e-05,0.45982570672313927
2023-01-12 10:01:57,2023-01-12 10:01:57,220220_554179579_20230112-10:01:,0.02992,2.992,63,2.9903862745098038,2.9904819376026275,10:01:57,0.0016137254901962272,2.0079439046752716,0.00011385127788292593,0.4242895718555152
2023-01-12 10:02:02,2023-01-12 10:02:02,BGC22022011009428219,0.029925,2.9925,5,2.9904202572347263,2.99051,10:02:02,0.0020797427652738953,2.0735090034023997,0.0002906331836276532,0.3509783742930899
2023-01-12 10:02:10,2023-01-12 10:02:10,TPSHe1063035150025273345,0.02992,2.992,8,2.99045987460815,2.9905296052631583,10:02:10,0.0015401253918501112,1.0287309134891376,0.0005140168168801474,0.3593022570701356
2023-01-12 10:02:21,2023-01-12 10:02:21,ICAP2202207000589194,0.029925,2.9925,11,2.990573026315789,2.9905748355263158,10:02:21,0.0019269736842111307,1.2271643990711192,0.000683393787551978,0.3214965440813455
2023-01-12 10:02:21,2023-01-12 10:02:21,ICAP2202207000589193,0.029925,2.9925,0,2.990573026315789,2.9905748355263158,10:02:21,0.0019269736842111307,1.001902811546373,0.0008914555874599106,0.3573230816794734
2023-01-12 10:02:33,2023-01-12 10:02:33,PATRe1063035247888723969,0.029925,2.9925,12,2.990646202531645,2.9906283112582783,10:02:33,0.0018537974683550118,0.7457894291685959,0.001099296634041913,0.41122534467277394
2023-01-12 10:02:33,2023-01-12 10:02:33,PATRe1063035247876141057,0.029925,2.9925,0,2.990646202531645,2.9906283112582783,10:02:33,0.0018537974683550118,0.5892852940169018,0.0012997335237345364,0.47065011166347603
2023-01-12 10:02:33,2023-01-12 10:02:33,PATRe1063035247901306881,0.029925,2.9925,0,2.990646202531645,2.9906283112582783,10:02:33,0.0018537974683550118,0.4339003537105721,0.0015001704134271598,0.5375996310039449
2023-01-12 10:02:40,2023-01-12 10:02:40,TJXT230112052024000000000129,0.029925,2.9925,7,2.990686377708978,2.9906551155115513,10:02:40,0.00181362229102211,0.1873669739622321,0.0017005217511717242,0.6157371467113645
2023-01-12 10:02:44,2023-01-12 10:02:44,TPSHe1063035296058355713,0.029925,2.9925,4,2.990708562691131,2.990667213114754,10:02:44,0.0017914373088689928,0.2553672341643544,0.0016468555711830035,0.45052585583305577
2023-01-12 10:03:06,2023-01-12 10:03:06,BGC22022011009428338,0.029925,2.9925,22,2.990823809523809,2.9907610561056104,10:03:06,0.0016761904761910529,-1.0170665448035106,0.0018253993020698634,0.5374986769082036
2023-01-12 10:03:31,2023-01-12 10:03:31,PATRe1063035490990583812,0.029925,2.9925,25,2.990823432343234,2.990859934318555,10:03:31,0.0016765676567662702,-1.118332702782407,0.001831645800669346,0.4552822623470938
2023-01-12 10:03:31,2023-01-12 10:03:31,PATRe1063035491007361025,0.029925,2.9925,0,2.990823432343234,2.990859934318555,10:03:31,0.0016765676567662702,-0.9750255977592537,0.0017913282898185834,0.3004939495179106
2023-01-12 10:03:40,2023-01-12 10:03:40,ICAP2202207000589199,0.029925,2.9925,9,2.990897689768977,2.990908818635608,10:03:40,0.0016023102310231963,-2.1760386827441085,0.0018049725163101992,0.19352820367277668
2023-01-12 10:03:46,2023-01-12 10:03:46,BGC22022011009428399,0.029925,2.9925,6,2.9909566666666665,2.990930679933665,10:03:46,0.001543333333333674,-2.2648707791583655,0.0017725061709914058,0.24370297002426083
2023-01-12 10:03:53,2023-01-12 10:03:53,PATRe1063035584439676929,0.029925,2.9925,7,2.990991856677524,2.99094868852459,10:03:53,0.0015081433224759522,-2.095388528282597,0.0017341421359036602,-0.1817393167318192
2023-01-12 10:04:03,2023-01-12 10:04:03,TPSHe1063035626535956484,0.029925,2.9925,10,2.9910394321766556,2.9909737096774194,10:04:03,0.001460567823344583,-2.011833037118468,0.0016995767213157543,-0.34200231332072434
2023-01-12 10:04:03,2023-01-12 10:04:03,TPSHe1063035624782737409,0.029925,2.9925,0,2.9910394321766556,2.9909737096774194,10:04:03,0.001460567823344583,-1.5835309994940139,0.0016602537568147114,-0.35035764192203495
2023-01-12 10:04:03,2023-01-12 10:04:03,TPSHe1063035624770154500,0.029925,2.9925,0,2.9910394321766556,2.9909737096774194,10:04:03,0.001460567823344583,-1.3273156237030057,0.0016209307923136685,-0.5479433294202282
